,name,party,state,bill,result
738,Graham,R,SC,8,1.0
739,Grassley,R,IA,8,1.0
740,Hatch,R,UT,8,1.0
741,Heinrich,D,NM,8,1.0
742,Heitkamp,D,ND,8,1.0
743,Heller,R,NV,8,1.0
744,Hirono,D,HI,8,1.0
745,Hoeven,R,ND,8,1.0
746,Inhofe,R,OK,8,1.0
747,Isakson,R,GA,8,1.0
748,Johnson,R,WI,8,1.0
749,Kaine,D,VA,8,1.0
750,King,I,ME,8,1.0
751,Kirk,R,IL,8,1.0
752,Klobuchar,D,MN,8,1.0
753,Lankford,R,OK,8,1.0
754,Leahy,D,VT,8,1.0
755,Lee,R,UT,8,1.0
756,Manchin,D,WV,8,1.0
757,Markey,D,MA,8,1.0
758,McCain,R,AZ,8,1.0
759,McCaskill,D,MO,8,1.0
760,McConnell,R,KY,8,1.0
761,Menendez,D,NJ,8,1.0
762,Merkley,D,OR,8,1.0
763,Mikulski,D,MD,8,1.0
764,Moran,R,KS,8,1.0
765,Murkowski,R,AK,8,1.0
766,Murphy,D,CT,8,1.0
767,Murray,D,WA,8,1.0
768,Nelson,D,FL,8,1.0
769,Paul,R,KY,8,1.0
770,Perdue,R,GA,8,1.0
771,Peters,D,MI,8,1.0
772,Portman,R,OH,8,1.0
773,Reed,D,RI,8,1.0
